start Python
Time_data_preparation: 1.1929
Method 0: Epoch [57/100], lr:0.0082, Loss:0.0640, Time_for_epoch: 22.3372
Method 0: Epoch [58/100], lr:0.0064, Loss:0.0271, Time_for_epoch: 22.3443
Method 0: Epoch [59/100], lr:0.0046, Loss:0.0107, Time_for_epoch: 22.3621
Method 0: Epoch [60/100], lr:0.0028, Loss:0.0040, Time_for_epoch: 22.3207
Method 0: Epoch [61/100], lr:0.0010, Loss:0.0013, Time_for_epoch: 22.3618
Method 0: Epoch [62/100], lr:0.0028, Loss:0.0010, Time_for_epoch: 22.3145
Method 0: Epoch [63/100], lr:0.0046, Loss:0.0345, Time_for_epoch: 22.3123
Method 0: Epoch [64/100], lr:0.0064, Loss:0.0757, Time_for_epoch: 22.3490
Method 0: Epoch [65/100], lr:0.0082, Loss:0.0742, Time_for_epoch: 22.3039
Method 0: Epoch [66/100], lr:0.0100, Loss:0.0950, Time_for_epoch: 22.3098
Method 0: Epoch [67/100], lr:0.0082, Loss:0.0472, Time_for_epoch: 22.3177
Method 0: Epoch [68/100], lr:0.0064, Loss:0.0254, Time_for_epoch: 22.3072
Method 0: Epoch [69/100], lr:0.0046, Loss:0.0109, Time_for_epoch: 22.3030
Method 0: Epoch [70/100], lr:0.0028, Loss:0.0033, Time_for_epoch: 22.2959
Method 0: Epoch [71/100], lr:0.0010, Loss:0.0011, Time_for_epoch: 22.3103
Method 0: Epoch [72/100], lr:0.0028, Loss:0.0011, Time_for_epoch: 22.3022
Method 0: Epoch [73/100], lr:0.0046, Loss:0.0075, Time_for_epoch: 22.2914
Method 0: Epoch [74/100], lr:0.0064, Loss:0.0949, Time_for_epoch: 22.3102
Method 0: Epoch [75/100], lr:0.0082, Loss:0.0631, Time_for_epoch: 22.3102
Method 0: Epoch [76/100], lr:0.0100, Loss:0.0819, Time_for_epoch: 22.3062
Method 0: Epoch [77/100], lr:0.0082, Loss:0.0427, Time_for_epoch: 22.3071
Method 0: Epoch [78/100], lr:0.0064, Loss:0.0210, Time_for_epoch: 22.3085
Method 0: Epoch [79/100], lr:0.0046, Loss:0.0096, Time_for_epoch: 22.3005
Method 0: Epoch [80/100], lr:0.0028, Loss:0.0025, Time_for_epoch: 22.3019
Method 0: Epoch [81/100], lr:0.0010, Loss:0.0009, Time_for_epoch: 22.3099
Method 0: Epoch [82/100], lr:0.0028, Loss:0.0007, Time_for_epoch: 22.2748
Method 0: Epoch [83/100], lr:0.0046, Loss:0.0075, Time_for_epoch: 22.3017
Method 0: Epoch [84/100], lr:0.0064, Loss:0.0819, Time_for_epoch: 22.3296
Method 0: Epoch [85/100], lr:0.0082, Loss:0.0546, Time_for_epoch: 22.3189
Method 0: Epoch [86/100], lr:0.0100, Loss:0.0770, Time_for_epoch: 22.3138
Method 0: Epoch [87/100], lr:0.0082, Loss:0.0369, Time_for_epoch: 22.3008
Method 0: Epoch [88/100], lr:0.0064, Loss:0.0149, Time_for_epoch: 22.3091
Method 0: Epoch [89/100], lr:0.0046, Loss:0.0047, Time_for_epoch: 22.3069
Method 0: Epoch [90/100], lr:0.0028, Loss:0.0016, Time_for_epoch: 22.3090
Method 0: Epoch [91/100], lr:0.0010, Loss:0.0006, Time_for_epoch: 22.3164
Method 0: Epoch [92/100], lr:0.0028, Loss:0.0005, Time_for_epoch: 22.3111
Method 0: Epoch [93/100], lr:0.0046, Loss:0.0021, Time_for_epoch: 22.3072
Method 0: Epoch [94/100], lr:0.0064, Loss:0.0844, Time_for_epoch: 22.3540
Method 0: Epoch [95/100], lr:0.0082, Loss:0.0493, Time_for_epoch: 22.3147
Method 0: Epoch [96/100], lr:0.0100, Loss:0.0666, Time_for_epoch: 22.3067
Method 0: Epoch [97/100], lr:0.0082, Loss:0.0295, Time_for_epoch: 22.3152
Method 0: Epoch [98/100], lr:0.0064, Loss:0.0139, Time_for_epoch: 22.3473
