start Python
Time_data_preparation: 1.1184
General 0
exp(exp(0.435222))
((0.148270-0.646770)-(x00)**(0.188513))
(sin(-0.187363)/((-1.193145)/3.141593))
Gen 0 Tree 2: Epoch [96/100], lr:0.0005, Loss:0.0189, Time_for_epoch: 34.5715
Gen 0 Tree 2: Epoch [97/100], lr:0.0005, Loss:0.0161, Time_for_epoch: 34.5563
Gen 0 Tree 2: Epoch [98/100], lr:0.0005, Loss:0.0212, Time_for_epoch: 34.5481
Gen 0 Tree 2: Epoch [99/100], lr:0.0005, Loss:0.0256, Time_for_epoch: 34.5644
Gen 0 Tree 2: Epoch [100/100], lr:0.0005, Loss:0.0171, Time_for_epoch: 34.5656
Tree 2: TestLoss: 1.3069, TestAccuracy: 0.8019, Time_for_individ: 3456.5584
Открытие файла для записи losses
Закрытие файла для записи losses
Time_whole_program: 7016.7304 seconds
General 1
(1/(1.060557)/(x00/(-0.578596)))
sin(1/(-0.642338))**(x00)
exp(x01)
Gen 1 Tree 0: Epoch [1/100], lr:-0.0005, Loss:174.8250, Time_for_epoch: 35.5962
Gen 1 Tree 0: Epoch [2/100], lr:-0.0003, Loss:599.4178, Time_for_epoch: 34.4255
Gen 1 Tree 0: Epoch [3/100], lr:-0.0002, Loss:944.7473, Time_for_epoch: 34.5457
Gen 1 Tree 0: Epoch [4/100], lr:-0.0001, Loss:1222.6431, Time_for_epoch: 34.6075
Gen 1 Tree 0: Epoch [5/100], lr:-0.0001, Loss:1443.7548, Time_for_epoch: 34.5064
Gen 1 Tree 0: Epoch [6/100], lr:-0.0001, Loss:1630.9763, Time_for_epoch: 34.5256
Gen 1 Tree 0: Epoch [7/100], lr:-0.0001, Loss:1794.6314, Time_for_epoch: 34.5379
Gen 1 Tree 0: Epoch [8/100], lr:-0.0001, Loss:1940.6407, Time_for_epoch: 34.5706
Gen 1 Tree 0: Epoch [9/100], lr:-0.0001, Loss:2075.1264, Time_for_epoch: 34.6610
Gen 1 Tree 0: Epoch [10/100], lr:-0.0001, Loss:2193.2515, Time_for_epoch: 34.5890
Gen 1 Tree 0: Epoch [11/100], lr:-0.0000, Loss:2302.3516, Time_for_epoch: 34.5789
