start Python
Time_data_preparation: 1.1905
Testing scheduler 0: StepLRMethod 0: Epoch [1/100], lr:0.0100, Loss:1.6946, Time_for_epoch: 26.6739
Method 1: Epoch [97/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 37.7292
Method 1: Epoch [98/100], lr:0.0000, Loss:0.0007, Time_for_epoch: 37.8036
Method 1: Epoch [99/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 37.8612
Method 1: Epoch [100/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 37.8926
Method 1: TestLoss: 1.1263, TestAccuracy: 0.8545, Time_for_individ: 3905.8682
Testing scheduler 2: ExponentialLRMethod 2: Epoch [1/100], lr:0.0100, Loss:1.6986, Time_for_epoch: 37.6703
Method 2: Epoch [2/100], lr:0.0095, Loss:1.1663, Time_for_epoch: 38.5222
Method 2: Epoch [3/100], lr:0.0090, Loss:0.9265, Time_for_epoch: 38.0437
Method 2: Epoch [4/100], lr:0.0086, Loss:0.7745, Time_for_epoch: 38.0899
Method 2: Epoch [5/100], lr:0.0081, Loss:0.6591, Time_for_epoch: 43.2966
Method 2: Epoch [6/100], lr:0.0077, Loss:0.5727, Time_for_epoch: 43.2321
Method 2: Epoch [7/100], lr:0.0074, Loss:0.5102, Time_for_epoch: 38.3421
Method 2: Epoch [8/100], lr:0.0070, Loss:0.4529, Time_for_epoch: 38.1289
Method 2: Epoch [9/100], lr:0.0066, Loss:0.4023, Time_for_epoch: 38.6294
Method 2: Epoch [10/100], lr:0.0063, Loss:0.3609, Time_for_epoch: 38.0777
Method 2: Epoch [11/100], lr:0.0060, Loss:0.3234, Time_for_epoch: 38.5033
Method 2: Epoch [12/100], lr:0.0057, Loss:0.2826, Time_for_epoch: 38.2581
Method 2: Epoch [13/100], lr:0.0054, Loss:0.2508, Time_for_epoch: 38.6861
Method 2: Epoch [14/100], lr:0.0051, Loss:0.2216, Time_for_epoch: 38.6874
Method 2: Epoch [15/100], lr:0.0049, Loss:0.1857, Time_for_epoch: 38.3204
Method 2: Epoch [16/100], lr:0.0046, Loss:0.1635, Time_for_epoch: 38.8056
Method 2: Epoch [17/100], lr:0.0044, Loss:0.1367, Time_for_epoch: 38.9334
Method 2: Epoch [18/100], lr:0.0042, Loss:0.1199, Time_for_epoch: 38.9573
Method 2: Epoch [19/100], lr:0.0040, Loss:0.0969, Time_for_epoch: 38.9867
