start Python
Time_data_preparation: 1.2040
General 0
(sin(3.141593)*cos(0.433665))
sin(exp(0.143431))
((x00/x01)/((-0.131818)/(-0.406578)))
(sin(x01)*1/(-0.128106))
cos(cos(0.249268))
log((x00/2.075837), (0.685211)**(x01))
1/(x01+0.557923)
1/(1/(-0.576128))
((-(-0.443794))-log(x00))
exp(x01-1.816487)
(-exp(x00))
sin((-0.285104)-1.012083)
Gen 0 Tree 1: Epoch [97/100], lr:0.0009, Loss:0.0126, Time_for_epoch: 22.8400
Gen 0 Tree 1: Epoch [98/100], lr:0.0009, Loss:0.0212, Time_for_epoch: 22.8306
Gen 0 Tree 1: Epoch [99/100], lr:0.0009, Loss:0.0224, Time_for_epoch: 22.8140
Gen 0 Tree 1: Epoch [100/100], lr:0.0009, Loss:0.0168, Time_for_epoch: 22.8538
Tree 1: TestLoss: 0.9826, TestAccuracy: 0.8375, Time_for_individ: 2297.9010
Tree 2 is not valid
Gen 0 Tree 3: Epoch [1/100], lr:-0.0000, Loss:2.3177, Time_for_epoch: 22.8047
Gen 0 Tree 3: Epoch [2/100], lr:-0.0000, Loss:2.3180, Time_for_epoch: 22.8430
Gen 0 Tree 3: Epoch [3/100], lr:-0.0000, Loss:2.3172, Time_for_epoch: 22.8397
Gen 0 Tree 3: Epoch [4/100], lr:-0.0000, Loss:2.3175, Time_for_epoch: 22.8441
Gen 0 Tree 3: Epoch [5/100], lr:-0.0000, Loss:2.3174, Time_for_epoch: 22.8260
Gen 0 Tree 3: Epoch [6/100], lr:-0.0000, Loss:2.3174, Time_for_epoch: 22.8509
Gen 0 Tree 3: Epoch [7/100], lr:-0.0000, Loss:2.3177, Time_for_epoch: 22.8439
Gen 0 Tree 3: Epoch [8/100], lr:-0.0000, Loss:2.3171, Time_for_epoch: 22.8483
Gen 0 Tree 3: Epoch [9/100], lr:-0.0000, Loss:2.3179, Time_for_epoch: 22.8262
Gen 0 Tree 3: Epoch [10/100], lr:-0.0000, Loss:2.3180, Time_for_epoch: 22.8463
Gen 0 Tree 3: Epoch [11/100], lr:0.0000, Loss:2.3125, Time_for_epoch: 22.8241
Gen 0 Tree 3: Epoch [12/100], lr:0.0000, Loss:2.3023, Time_for_epoch: 22.8505
Gen 0 Tree 3: Epoch [13/100], lr:0.0000, Loss:2.2940, Time_for_epoch: 22.8460
Gen 0 Tree 3: Epoch [14/100], lr:0.0000, Loss:2.2864, Time_for_epoch: 22.8591
Gen 0 Tree 3: Epoch [15/100], lr:0.0000, Loss:2.2794, Time_for_epoch: 22.8369
Gen 0 Tree 3: Epoch [16/100], lr:0.0000, Loss:2.2728, Time_for_epoch: 22.8402
Gen 0 Tree 3: Epoch [17/100], lr:0.0000, Loss:2.2672, Time_for_epoch: 22.8616
Gen 0 Tree 3: Epoch [18/100], lr:0.0000, Loss:2.2614, Time_for_epoch: 22.8483
Gen 0 Tree 3: Epoch [19/100], lr:0.0000, Loss:2.2563, Time_for_epoch: 22.8380
Gen 0 Tree 3: Epoch [20/100], lr:0.0000, Loss:2.2525, Time_for_epoch: 22.8298
Gen 0 Tree 3: Epoch [21/100], lr:0.0000, Loss:1.8724, Time_for_epoch: 22.8341
Gen 0 Tree 3: Epoch [22/100], lr:0.0000, Loss:1.5312, Time_for_epoch: 22.8403
Gen 0 Tree 3: Epoch [23/100], lr:0.0000, Loss:1.3603, Time_for_epoch: 22.8463
Gen 0 Tree 3: Epoch [24/100], lr:0.0000, Loss:1.2317, Time_for_epoch: 22.8302
Gen 0 Tree 3: Epoch [25/100], lr:0.0000, Loss:1.1233, Time_for_epoch: 22.8472
Gen 0 Tree 3: Epoch [26/100], lr:0.0000, Loss:1.0208, Time_for_epoch: 22.8263
Gen 0 Tree 3: Epoch [27/100], lr:0.0000, Loss:0.9144, Time_for_epoch: 22.8575
Gen 0 Tree 3: Epoch [28/100], lr:0.0000, Loss:0.8209, Time_for_epoch: 22.8366
Gen 0 Tree 3: Epoch [29/100], lr:0.0000, Loss:0.7283, Time_for_epoch: 22.8520
Gen 0 Tree 3: Epoch [30/100], lr:0.0000, Loss:0.6383, Time_for_epoch: 22.8367
Gen 0 Tree 3: Epoch [31/100], lr:0.0010, Loss:1.2279, Time_for_epoch: 22.8544
Gen 0 Tree 3: Epoch [32/100], lr:0.0010, Loss:0.9214, Time_for_epoch: 22.8409
Gen 0 Tree 3: Epoch [33/100], lr:0.0010, Loss:0.7605, Time_for_epoch: 23.0379
Gen 0 Tree 3: Epoch [34/100], lr:0.0010, Loss:0.6525, Time_for_epoch: 23.0622
Gen 0 Tree 3: Epoch [35/100], lr:0.0010, Loss:0.5564, Time_for_epoch: 23.0879
