start Python
Time_data_preparation: 1.1188
General 0
log((0.803732)**(1.343144))
exp(x00)**(0.268522)
Gen 1 Tree 1: Epoch [45/100], lr:0.0052, Loss:0.0486, Time_for_epoch: 34.8737
Gen 1 Tree 1: Epoch [46/100], lr:0.0052, Loss:0.0520, Time_for_epoch: 34.8768
Gen 1 Tree 1: Epoch [47/100], lr:0.0052, Loss:0.0443, Time_for_epoch: 34.8585
Gen 1 Tree 1: Epoch [48/100], lr:0.0052, Loss:0.0452, Time_for_epoch: 34.8312
Gen 1 Tree 1: Epoch [49/100], lr:0.0052, Loss:0.0462, Time_for_epoch: 34.8207
Gen 1 Tree 1: Epoch [50/100], lr:0.0052, Loss:0.0425, Time_for_epoch: 34.8269
Gen 1 Tree 1: Epoch [51/100], lr:0.0052, Loss:0.0500, Time_for_epoch: 34.8195
Gen 1 Tree 1: Epoch [52/100], lr:0.0052, Loss:0.0439, Time_for_epoch: 34.8264
Gen 1 Tree 1: Epoch [53/100], lr:0.0052, Loss:0.0351, Time_for_epoch: 34.8102
Gen 1 Tree 1: Epoch [54/100], lr:0.0052, Loss:0.0452, Time_for_epoch: 34.8239
Gen 1 Tree 1: Epoch [55/100], lr:0.0052, Loss:0.0316, Time_for_epoch: 34.8208
Gen 1 Tree 1: Epoch [56/100], lr:0.0052, Loss:0.0446, Time_for_epoch: 34.8108
Gen 1 Tree 1: Epoch [57/100], lr:0.0052, Loss:0.0457, Time_for_epoch: 34.8261
Gen 1 Tree 1: Epoch [58/100], lr:0.0052, Loss:0.0344, Time_for_epoch: 34.8004
Gen 1 Tree 1: Epoch [59/100], lr:0.0052, Loss:0.0395, Time_for_epoch: 34.8402
Gen 1 Tree 1: Epoch [60/100], lr:0.0052, Loss:0.0378, Time_for_epoch: 34.8205
Gen 1 Tree 1: Epoch [61/100], lr:0.0052, Loss:0.0334, Time_for_epoch: 34.7813
Gen 1 Tree 1: Epoch [62/100], lr:0.0052, Loss:0.0379, Time_for_epoch: 34.7837
Gen 1 Tree 1: Epoch [63/100], lr:0.0052, Loss:0.0379, Time_for_epoch: 34.7901
Gen 1 Tree 1: Epoch [64/100], lr:0.0052, Loss:0.0265, Time_for_epoch: 34.7755
Gen 1 Tree 1: Epoch [65/100], lr:0.0052, Loss:0.0377, Time_for_epoch: 34.7769
Gen 1 Tree 1: Epoch [66/100], lr:0.0052, Loss:0.0324, Time_for_epoch: 34.7840
Gen 1 Tree 1: Epoch [67/100], lr:0.0052, Loss:0.0349, Time_for_epoch: 34.8951
Gen 1 Tree 1: Epoch [68/100], lr:0.0052, Loss:0.0328, Time_for_epoch: 34.8406
Gen 1 Tree 1: Epoch [69/100], lr:0.0052, Loss:0.0300, Time_for_epoch: 34.8021
Gen 1 Tree 1: Epoch [70/100], lr:0.0052, Loss:0.0367, Time_for_epoch: 34.7871
Gen 1 Tree 1: Epoch [71/100], lr:0.0052, Loss:0.0281, Time_for_epoch: 34.7883
Gen 1 Tree 1: Epoch [72/100], lr:0.0052, Loss:0.0314, Time_for_epoch: 34.7795
Gen 1 Tree 1: Epoch [73/100], lr:0.0052, Loss:0.0274, Time_for_epoch: 34.8106
Gen 1 Tree 1: Epoch [74/100], lr:0.0052, Loss:0.0273, Time_for_epoch: 34.7937
Gen 1 Tree 1: Epoch [75/100], lr:0.0052, Loss:0.0307, Time_for_epoch: 34.7781
Gen 1 Tree 1: Epoch [76/100], lr:0.0052, Loss:0.0314, Time_for_epoch: 34.7900
Gen 1 Tree 1: Epoch [77/100], lr:0.0052, Loss:0.0236, Time_for_epoch: 34.8125
Gen 1 Tree 1: Epoch [78/100], lr:0.0052, Loss:0.0274, Time_for_epoch: 34.8053
Gen 1 Tree 1: Epoch [79/100], lr:0.0052, Loss:0.0267, Time_for_epoch: 34.7879
Gen 1 Tree 1: Epoch [80/100], lr:0.0052, Loss:0.0301, Time_for_epoch: 34.8113
Gen 1 Tree 1: Epoch [81/100], lr:0.0052, Loss:0.0259, Time_for_epoch: 34.8695
Gen 1 Tree 1: Epoch [82/100], lr:0.0052, Loss:0.0255, Time_for_epoch: 34.8066
Gen 1 Tree 1: Epoch [83/100], lr:0.0052, Loss:0.0271, Time_for_epoch: 34.6749
Gen 1 Tree 1: Epoch [84/100], lr:0.0052, Loss:0.0276, Time_for_epoch: 34.6999
Gen 1 Tree 1: Epoch [85/100], lr:0.0052, Loss:0.0210, Time_for_epoch: 34.7007
Gen 1 Tree 1: Epoch [86/100], lr:0.0052, Loss:0.0241, Time_for_epoch: 34.6851
Gen 1 Tree 1: Epoch [87/100], lr:0.0052, Loss:0.0242, Time_for_epoch: 34.6795
