start Python
Time_data_preparation: 1.0758
General 13
exp(cos(x00)-x00)
exp((0.029641*x01)-x00)
(0.615856*((x01-(-0.272221))/x00))
(0.754543*(x01)**(x00))
exp(cos(x00)-0.478629)
exp(1/(0.003709))
(log(x00)*((x01-(-0.272221))/x00))
exp(x01-log(x01, 0.402069))
exp(sin(0.823212))
exp(1/(0.130263))
exp((x01-x01))**(exp(x01))
exp(x01-x01)
exp(1/(0.823637)-x00)
((0.703275-x01)*(((x00)**((x00-x01))+(-0.891086))/x00))
exp((-0.448128)-x00)
exp(x01*0.907900)
exp((x01*x00)-(-0.436459))
((-exp(x00))/(x00*x01))
(exp(-0.242982)*(x01/1.078845))
exp(-0.274573)
exp(0.152792)
exp(x00)**((-0.018708))
exp(x00)
((x01-((-0.317296)-2.718282))/(x01+x00))
((x01-x00)*(x01)**(x00))
((x00)**((-0.798123))*(1.073440+x00))
exp(1/(x00))
exp(1/(x00)-x00)
Gen 13 Tree 1: Epoch [50/100], lr:0.0000, Loss:0.5482, Time_for_epoch: 16.8788
Gen 13 Tree 1: Epoch [51/100], lr:0.0000, Loss:0.5503, Time_for_epoch: 16.8767
Gen 13 Tree 1: Epoch [52/100], lr:0.0000, Loss:0.5501, Time_for_epoch: 16.8624
Gen 13 Tree 1: Epoch [53/100], lr:0.0000, Loss:0.5507, Time_for_epoch: 16.8638
Gen 13 Tree 1: Epoch [54/100], lr:0.0000, Loss:0.5484, Time_for_epoch: 16.8596
Gen 13 Tree 1: Epoch [55/100], lr:0.0000, Loss:0.5477, Time_for_epoch: 16.8715
Gen 13 Tree 1: Epoch [56/100], lr:0.0000, Loss:0.5475, Time_for_epoch: 16.8746
Gen 13 Tree 1: Epoch [57/100], lr:0.0000, Loss:0.5489, Time_for_epoch: 16.8788
Gen 13 Tree 1: Epoch [58/100], lr:0.0000, Loss:0.5489, Time_for_epoch: 16.8882
Gen 13 Tree 1: Epoch [59/100], lr:0.0000, Loss:0.5496, Time_for_epoch: 16.8719
Gen 13 Tree 1: Epoch [60/100], lr:0.0000, Loss:0.5474, Time_for_epoch: 16.8837
Gen 13 Tree 1: Epoch [61/100], lr:0.0000, Loss:0.5482, Time_for_epoch: 16.9002
Gen 13 Tree 1: Epoch [62/100], lr:0.0000, Loss:0.5499, Time_for_epoch: 16.8888
Gen 13 Tree 1: Epoch [63/100], lr:0.0000, Loss:0.5478, Time_for_epoch: 16.8943
Gen 13 Tree 1: Epoch [64/100], lr:0.0000, Loss:0.5493, Time_for_epoch: 16.8814
Gen 13 Tree 1: Epoch [65/100], lr:0.0000, Loss:0.5523, Time_for_epoch: 16.8824
Gen 13 Tree 1: Epoch [66/100], lr:0.0000, Loss:0.5495, Time_for_epoch: 16.8967
Gen 13 Tree 1: Epoch [67/100], lr:0.0000, Loss:0.5543, Time_for_epoch: 16.8994
Gen 13 Tree 1: Epoch [68/100], lr:0.0000, Loss:0.5465, Time_for_epoch: 16.8858
Gen 13 Tree 1: Epoch [69/100], lr:0.0000, Loss:0.5499, Time_for_epoch: 16.8847
Gen 13 Tree 1: Epoch [70/100], lr:0.0000, Loss:0.5479, Time_for_epoch: 16.8916
Gen 13 Tree 1: Epoch [71/100], lr:0.0000, Loss:0.5514, Time_for_epoch: 16.8747
Gen 13 Tree 1: Epoch [72/100], lr:0.0000, Loss:0.5508, Time_for_epoch: 16.8824
Gen 13 Tree 1: Epoch [73/100], lr:0.0000, Loss:0.5498, Time_for_epoch: 16.8748
Gen 13 Tree 1: Epoch [74/100], lr:0.0000, Loss:0.5493, Time_for_epoch: 16.8757
Gen 13 Tree 1: Epoch [75/100], lr:0.0000, Loss:0.5497, Time_for_epoch: 16.8842
Gen 13 Tree 1: Epoch [76/100], lr:0.0000, Loss:0.5496, Time_for_epoch: 16.8874
Gen 13 Tree 1: Epoch [77/100], lr:0.0000, Loss:0.5513, Time_for_epoch: 16.8744
Gen 13 Tree 1: Epoch [78/100], lr:0.0000, Loss:0.5466, Time_for_epoch: 16.8789
Gen 13 Tree 1: Epoch [79/100], lr:0.0000, Loss:0.5527, Time_for_epoch: 16.8870
Gen 13 Tree 1: Epoch [80/100], lr:0.0000, Loss:0.5497, Time_for_epoch: 16.8600
Gen 13 Tree 1: Epoch [81/100], lr:0.0000, Loss:0.5484, Time_for_epoch: 16.8537
